TRANSACTION_ID,WAREHOUSE_ID,TRANSACTION_TIMESTAMP,DATE,HOUR,ORDER_TYPE,ORDER_TYPE_CATEGORY,ORDER_CHANNEL,USER_ID,ACTION_CODE,ORDER_NUMBER,ORDER_LINE_ITEM,ARTICLE,DEVICE_CODE,SHIP_LINE_ID,GIFT_FLAG,FROM_AREA_CODE,TO_AREA_CODE,FROM_STORAGE_LOCATION,TO_STORAGE_LOCATION,ORDER_CATEGORY,INVENTORY_DETAIL_NUMBER,QUANTITY
00006XBJC3,DC01,2021-11-02 8:48:26 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER7,LSTPCK,82614576,1680,85022022,27,SLN00EYFAB,0,PICK,RDTS000001,71-13-04-02,27,Replenishment,D000000FGA5G,1
00006XBJL9,DC01,2021-11-02 8:50:26 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER7,LSTPCK,82614576,2060,92024050,27,SLN00EYFBY,0,PICK,RDTS000001,73-12-02-03,27,Replenishment,D000000FGA7E,1
00006XB67K,DC01,2021-11-02 8:16:41 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER9,ASSUMEDPCK,82611105,500,79672001,88,SLN00EXOQ1,0,PICK,RDTS000001,06-17-02-12,88,Replenishment,D000000FG9HA,1
00006XBB3U,DC01,2021-11-02 8:24:12 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,ASSUMEDPCK,82611098,2200,84020005,35,SLN00EXNZA,0,PICK,RDTS000001,23-05-01-02,35,Replenishment,D000000FG9N7,1
00006XB243,DC01,2021-11-02 8:09:45 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER10,LSTPCK,82611098,2600,85165003,58,SLN00EXNXN,0,PICK,RDTS000001,74-02-02-01,58,Replenishment,D000000FG99N,1
00006XBKHT,DC01,2021-11-02 8:56:06 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER11,ASSUMEDPCK,262894779,2,90982002,54,SLN00EYJB3,0,PICK,RDTS000001,41E-15-02-02,54,eComm Canada,D000000FGACZ,1
00006XBK5M,DC01,2021-11-02 8:53:39 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER3,LSTPCK,82614583,2240,92533006,12,SLN00EYEEV,0,PICK,RDTS000001,82-07-03-05,12,Replenishment,D000000FGAAJ,1
00006XBAVR,DC01,2021-11-02 8:22:42 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER2,ASSUMEDPCK,262893545,3,95858005,67,SLN00EYAVU,0,PICK,RDTS000001,56-13-02-01,67,eComm Canada,D000000FG9M5,1
00006XBL11,DC01,2021-11-02 8:59:58 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER11,LSTPCK,262896857,3,81378002,54,SLN00EYJ5D,0,PICK,RDTS000001,50-11-04-06,54,eComm Canada,D000000FGAGS,1
00006XBCDW,DC01,2021-11-02 8:25:48 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER12,LSTPCK,82614579,3410,92132188,109,SLN00EYBK3,0,PICK,RDTS000001,63-23-03-03,109,Replenishment,D000000FG9OE,1
00006XBJZ6,DC01,2021-11-02 8:52:45 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,ASSUMEDPCK,82611098,1630,82203009,35,SLN00EXO60,0,PICK,RDTS000001,44-07-04-02,35,Replenishment,D000000FGA9L,1
00006XBJQJ,DC01,2021-11-02 8:51:00 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER12,ASSUMEDPCK,82614583,2390,95558004,109,SLN00EYEEG,0,PICK,RDTS000001,72-18-02-05,109,Replenishment,D000000FGA7U,1
00006XBJJ3,DC01,2021-11-02 8:50:11 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER2,LSTPCK,262897042,3,79810065,67,SLN00EYA6H,0,PICK,RDTS000001,84-17-04-04,67,eComm Canada,D000000FGA76,1
00006XBKY7,DC01,2021-11-02 8:59:04 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER13,PKOCLOSE,262897921,4,92044001,STNPACK-044,SLN00EY8PQ,0,WRKS,PACK,STNPACK-044,STNPACK-044-STG,eComm Canada,D000000FG6DL,2
00006XBCS1,DC01,2021-11-02 8:29:20 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER14,IDNTFY,82544842,830,84609006,99,SLN00EZ6RH,0,ADJS,EXPR,PERM-CRE-LOC,RTNS110221,Replenishment,D000000FG9R2,1
00006XBE8A,DC01,2021-11-02 8:39:00 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER15,LSTPCK,262894872,3,82199002,57,SLN00EYASI,0,PICK,RDTS000001,60-07-04-09,57,eComm Canada,D000000FG9X2,1
00006XBKP3,DC01,2021-11-02 8:57:56 AM,02-Nov-21,8,E05,ECOMM US,ECOMMERCE,USER16,ASSUMEDPCK,262891273,1,84569084,72,SLN00EYGL9,0,PICK,RDTS000001,78-03-01-01,72,eComm USA S321,D000000FGAEM,1
00006XB2CB,DC01,2021-11-02 8:11:54 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,ASSUMEDPCK,82614590,40,60533001,35,SLN00EYB1R,0,PICK,RDTS000001,58-15-03-02,35,Replenishment,D000000FG9C5,4
00006XBDT2,DC01,2021-11-02 8:35:04 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,ASSUMEDPCK,82614579,2740,85165007,35,SLN00EYBLY,0,PICK,RDTS000001,35-11-03-03,35,Replenishment,D000000FG9UT,1
00006XBKNM,DC01,2021-11-02 8:57:45 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER12,LSTPCK,82614569,2320,90566001,109,SLN00EYF48,0,PICK,RDTS000001,74-05-03-05,109,Replenishment,D000000FGAEH,1
00006XBKCE,DC01,2021-11-02 8:54:40 AM,02-Nov-21,8,E01,ECOMM CA,ECOMMERCE,USER15,ASSUMEDPCK,262899612,1,90866110,57,SLN00EYAFY,0,PICK,RDTS000001,70-06-02-03,57,eComm Canada,D000000FGABK,1
00006XBJTN,DC01,2021-11-02 8:51:31 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,ASSUMEDPCK,82614579,3040,90839014,35,SLN00EYBIG,0,PICK,RDTS000001,44-21-03-02,35,Replenishment,D000000FGA88,1
00006XB0DV,DC01,2021-11-02 8:03:47 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER10,ASSUMEDPCK,82614579,1600,80735004,58,SLN00EYBEF,0,PICK,RDTS000001,73-04-03-05,58,Replenishment,D000000FG93X,1
00006XB832,DC01,2021-11-02 8:19:17 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER9,ASSUMEDPCK,82614579,820,77900003,88,SLN00EYBGL,0,PICK,RDTS000001,07-08-03-09,88,Replenishment,D000000FG9JO,2
00006XBGEC,DC01,2021-11-02 8:43:05 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER11,ASSUMEDPCK,262898860,1,82639084,54,SLN00EYJ3X,0,PICK,RDTS000001,13-02-04-03,54,eComm Canada,D000000FGA04,1
00006XB9XA,DC01,2021-11-02 8:21:42 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER9,LSTPCK,82614579,110,67558009,88,SLN00EYBFW,0,PICK,RDTS000001,08-15-02-01,88,Replenishment,D000000FG9LN,1
00006XB2BW,DC01,2021-11-02 8:11:48 AM,02-Nov-21,8,E07,ECOMM US,ECOMMERCE,USER17,LSTPCK,262901012,1,94403003,111,SLN00EYGT3,0,PICK,RDTS000001,20-09-02-02,111,eComm USA S321,D000000FG9BZ,1
00006XBGF5,DC01,2021-11-02 8:43:26 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER16,ASSUMEDPCK,262891481,1,84718034,72,SLN00EYAM9,0,PICK,RDTS000001,68-17-03-01,72,eComm Canada,D000000FGA0C,1
00006XBL10,DC01,2021-11-02 8:59:58 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER11,ASSUMEDPCK,262896857,3,81378002,54,SLN00EYJ5D,0,PICK,RDTS000001,50-11-04-06,54,eComm Canada,D000000FGAGS,1
00006XB0BB,DC01,2021-11-02 8:03:07 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER18,ASSUMEDPCK,262899622,1,91399014,68,SLN00EYB1D,0,PICK,RDTS000001,65-02-03-04,68,eComm Canada,D000000FG93B,1
00006XBKHV,DC01,2021-11-02 8:56:06 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER9,LSTPCK,82614571,2140,83023020,88,SLN00EYELF,0,PICK,RDTS000001,57-20-04-09,88,Replenishment,D000000FFUGG,1
00006XB85K,DC01,2021-11-02 8:19:37 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER19,ASSUMEDPCK,82611098,3440,94541009,8,SLN00EXO2R,0,PICK,RDTS000001,23-04-02-02,8,Replenishment,D000000FG9JY,1
00006XBAWO,DC01,2021-11-02 8:22:48 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER9,LSTPCK,82614579,2780,90083013,88,SLN00EYBLU,0,PICK,RDTS000001,09-13-03-02,88,Replenishment,D000000FG9M7,1
00006XBB1X,DC01,2021-11-02 8:23:45 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER2,ASSUMEDPCK,262893545,7,90029001,67,SLN00EYASA,0,PICK,RDTS000001,57-13-02-02,67,eComm Canada,D000000FG9MR,1
00006XB83P,DC01,2021-11-02 8:19:31 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER2,ASSUMEDPCK,262891469,1,69861128,67,SLN00EYAML,0,PICK,RDTS000001,51-20-02-03,67,eComm Canada,D000000FG9JU,1
00006XBD92,DC01,2021-11-02 8:32:10 AM,02-Nov-21,8,E07,ECOMM US,ECOMMERCE,USER20,PKOCLOSE,262868693,1,79515268,STNPACK-059,SLN00EY8KJ,0,WRKS,PACK,STNPACK-059,STNPACK-059-STG,eComm USA S321,D000000FG6GI,1
00006XBF7V,DC01,2021-11-02 8:41:41 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER2,LSTPCK,262897715,4,79872001,67,SLN00EYA7W,0,PICK,RDTS000001,73-04-02-03,67,eComm Canada,D000000FG9YY,1
00006XBD1J,DC01,2021-11-02 8:30:54 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,LSTPCK,82614579,1780,81378022,35,SLN00EYBDX,0,PICK,RDTS000001,29-05-03-01,35,Replenishment,D000000FG9S7,1
00006XB21D,DC01,2021-11-02 8:09:13 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER18,LSTPCK,262892686,1,94421001,68,SLN00EYAU2,0,PICK,RDTS000001,74-13-04-10,68,eComm Canada,D000000FG993,1
00006XBG96,DC01,2021-11-02 8:42:24 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,ASSUMEDPCK,82614579,3380,92130015,35,SLN00EYBK6,0,PICK,RDTS000001,40-03-02-03,35,Replenishment,D000000FG9ZK,1
00006XB26X,DC01,2021-11-02 8:10:39 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,LSTPCK,82611105,940,94422044,35,SLN00EXOOD,0,PICK,RDTS000001,57-04-04-05,35,Replenishment,D000000FG9AQ,2
00006XB0B0,DC01,2021-11-02 8:03:00 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER15,ASSUMEDPCK,262898546,1,78042002,57,SLN00EYAJ8,0,PICK,RDTS000001,23-03-03-05,57,eComm Canada,D000000FG936,1
00006XBD20,DC01,2021-11-02 8:31:05 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,LSTPCK,82614579,2080,82899005,35,SLN00EYBL3,0,PICK,RDTS000001,29-05-03-04,35,Replenishment,D000000FG9SB,2
00006XBKGI,DC01,2021-11-02 8:55:37 AM,02-Nov-21,8,E01,ECOMM CA,ECOMMERCE,USER15,ASSUMEDPCK,262896351,1,64420042,57,SLN00EYAC7,0,PICK,RDTS000001,71-18-03-03,57,eComm Canada,D000000FGACI,1
00006XBCDU,DC01,2021-11-02 8:25:47 AM,02-Nov-21,8,SO,SO,RETAIL,USER14,IDNTFY,82627090,60,92007044,99,SLN00F0SQ3,0,ADJS,EXPR,PERM-CRE-LOC,RTNS110221,Other Retail,D000000FG9OD,1
00006XBF7S,DC01,2021-11-02 8:41:39 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER4,LSTPCK,262897651,1,95384006,50,SLN00EYGJK,0,PICK,RDTS000001,72-17-02-02,50,eComm Canada,D000000FD52Y,1
00006XB26I,DC01,2021-11-02 8:10:31 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER9,LSTPCK,82614579,2020,82498039,88,SLN00EYBL9,0,PICK,RDTS000001,03-19-02-03,88,Replenishment,D000000F8J5Z,1
00006XB239,DC01,2021-11-02 8:09:30 AM,02-Nov-21,8,E07,ECOMM US,ECOMMERCE,USER21,LSTPCK,262888963,1,80214138,54,SLN00EY9MU,0,PICK,RDTS000001,86-12-03-02,54,eComm USA S321,D000000FG99H,1
00006XBB0C,DC01,2021-11-02 8:23:15 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER3,ASSUMEDPCK,82611098,3470,94558006,12,SLN00EXO2U,0,PICK,RDTS000001,68-06-02-05,12,Replenishment,D000000FG9MI,1
00006XB7GU,DC01,2021-11-02 8:17:52 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER9,ASSUMEDPCK,82611098,3320,92518011,88,SLN00EXO2F,0,PICK,RDTS000001,06-10-01-06,88,Replenishment,D000000FG9IH,1
00006XB0GY,DC01,2021-11-02 8:04:54 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER18,LSTPCK,262897624,2,83941004,68,SLN00EY95Q,0,PICK,RDTS000001,70-19-02-02,68,eComm Canada,D000000FG94V,1
00006XAYLR,DC01,2021-11-02 8:01:10 AM,02-Nov-21,8,E07,ECOMM US,ECOMMERCE,USER21,LSTPCK,262890844,2,82977003,54,SLN00EYGHH,0,PICK,RDTS000001,74-05-01-02,54,eComm USA S321,D000000FG91B,1
00006XAYHT,DC01,2021-11-02 8:00:14 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER18,LSTPCK,262895649,1,90879123,68,SLN00EYA9N,0,PICK,RDTS000001,63-09-02-04,68,eComm Canada,D000000FG909,1
00006XBKZ0,DC01,2021-11-02 8:59:17 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER17,ASSUMEDPCK,262898858,2,90566004,111,SLN00EYH1I,0,PICK,RDTS000001,85-15-03-03,111,eComm Canada,D000000FGAG0,1
00006XB268,DC01,2021-11-02 8:10:28 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER10,LSTPCK,82611098,2750,90243011,58,SLN00EXNY2,0,PICK,RDTS000001,75-03-03-04,58,Replenishment,D000000FG9AG,1
00006XB3VV,DC01,2021-11-02 8:13:58 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER12,LSTPCK,82614579,1370,79894003,109,SLN00EYBCE,0,PICK,RDTS000001,56-08-04-04,109,Replenishment,D000000FG9ED,3
00006XB4WJ,DC01,2021-11-02 8:15:12 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER10,LSTPCK,82611098,1780,82498038,58,SLN00EXO6F,0,PICK,RDTS000001,76-16-02-05,58,Replenishment,D000000FG9FU,1
00006XBJXV,DC01,2021-11-02 8:52:24 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER17,ASSUMEDPCK,262864895,1,84718031,111,SLN00EYGAY,0,PICK,RDTS000001,73-08-03-02,111,eComm Canada,D000000FGA96,1
00006XAZDB,DC01,2021-11-02 8:02:21 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER10,ASSUMEDPCK,82611098,3660,95862003,58,SLN00EXO0L,0,PICK,RDTS000001,72-13-03-03,58,Replenishment,D000000FG92K,1
00006XBD18,DC01,2021-11-02 8:30:47 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER2,ASSUMEDPCK,262888770,1,83748007,67,SLN00EYAP1,0,PICK,RDTS000001,64-21-03-02,67,eComm Canada,D000000FG9S4,1
00006XBEE9,DC01,2021-11-02 8:39:47 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER3,ASSUMEDPCK,82614580,2500,90484009,12,SLN00EYDZB,0,PICK,RDTS000001,38-04-01-01,12,Replenishment,D000000FG9XM,1
00006XAYHW,DC01,2021-11-02 8:00:15 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER2,ASSUMEDPCK,262898558,5,82899005,67,SLN00EYAIY,0,PICK,RDTS000001,29-05-03-04,67,eComm Canada,D000000FG90B,1
00006XB0I6,DC01,2021-11-02 8:05:12 AM,02-Nov-21,8,E05,ECOMM US,ECOMMERCE,USER16,LSTPCK,262898561,1,79774035,72,SLN00EYGKE,0,PICK,RDTS000001,31-16-01-01,72,eComm USA S321,D000000FG955,1
00006XBKL6,DC01,2021-11-02 8:56:58 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER3,ASSUMEDPCK,82614589,950,80419037,12,SLN00EYE63,0,PICK,RDTS000001,83-15-02-01,12,Replenishment,D000000FGADU,1
00006XBB2C,DC01,2021-11-02 8:23:50 AM,02-Nov-21,8,E07,ECOMM US,ECOMMERCE,USER22,PKOCLOSE,262884598,2,84729017,STNPACK-024,SLN00EY8B3,0,WRKS,PACK,STNPACK-024,STNPACK-024-STG,eComm USA S321,D000000EQTE2,1
00006XB8ZV,DC01,2021-11-02 8:21:19 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER3,ASSUMEDPCK,82611098,1980,83412005,12,SLN00EXO6Z,0,PICK,RDTS000001,68-22-03-02,12,Replenishment,D000000FG9LD,1
00006XB24J,DC01,2021-11-02 8:09:52 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER17,ASSUMEDPCK,262900726,1,81548009,111,SLN00EYGSV,0,PICK,RDTS000001,14-16-04-06,111,eComm Canada,D000000FG99V,1
00006XBCD2,DC01,2021-11-02 8:25:23 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER12,LSTPCK,82614579,2490,84831003,109,SLN00EYBMN,0,PICK,RDTS000001,63-22-02-02,109,Replenishment,D000000FG9O3,1
00006XB4EL,DC01,2021-11-02 8:14:27 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER19,ASSUMEDPCK,82611098,2560,85141003,8,SLN00EXNXJ,0,PICK,RDTS000001,21-05-01-02,8,Replenishment,D000000FG9EY,1
00006XBKMY,DC01,2021-11-02 8:57:34 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,ASSUMEDPCK,82614579,3020,90827003,35,SLN00EYBII,0,PICK,RDTS000001,48-06-02-05,35,Replenishment,D000000FGAEC,1
00006XB0BX,DC01,2021-11-02 8:03:17 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER5,LSTPCK,82611098,2080,83542022,35,SLN00EXNYY,0,PICK,RDTS000001,52-23-04-04,35,Replenishment,D000000FG93G,1
00006XB89D,DC01,2021-11-02 8:20:32 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER3,ASSUMEDPCK,82614594,390,80202021,12,SLN00EYB73,0,PICK,RDTS000001,67-16-03-02,12,Replenishment,D000000FG9KQ,1
00006XB29O,DC01,2021-11-02 8:11:18 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER23,PKOCLOSE,262872078,1,92521003,STNPACK-022,SLN00EY7F7,0,WRKS,PACK,STNPACK-022,STNPACK-022-STG,eComm Canada,D000000FG5RK,2
00006XBJYI,DC01,2021-11-02 8:52:38 AM,02-Nov-21,8,E07,ECOMM US,ECOMMERCE,USER24,PKOCLOSE,262894746,2,79515165,STNPACK-060,SLN00EY8J4,0,WRKS,PACK,STNPACK-060,STNPACK-060-STG,eComm USA S321,D000000FG67W,1
00006XBKFB,DC01,2021-11-02 8:55:16 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER12,LSTPCK,82614577,470,73936110,109,SLN00EYF6P,0,PICK,RDTS000001,73-21-04-02,109,Replenishment,D000000FGAC6,1
00006XBHU9,DC01,2021-11-02 8:45:17 AM,02-Nov-21,8,E01,ECOMM CA,ECOMMERCE,USER25,PKOCLOSE,262889767,1,73427019,STNPACK-018,SLN00EY6XS,0,WRKS,PACK,STNPACK-018,STNPACK-018-STG,eComm Canada,D000000FG54T,1
00006XB0FK,DC01,2021-11-02 8:04:23 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER25,PKOCLOSE,262822696,1,92132087,STNPACK-018,SLN00EY86R,0,WRKS,PACK,STNPACK-018,STNPACK-018-STG,eComm Canada,D000000FG5JP,1
00006XBCAP,DC01,2021-11-02 8:24:43 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER19,ASSUMEDPCK,82614579,1980,82379014,8,SLN00EYBLD,0,PICK,RDTS000001,26-15-03-04,8,Replenishment,D000000FG9NK,2
00006XB2BS,DC01,2021-11-02 8:11:46 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER3,ASSUMEDPCK,82611098,2800,90501002,12,SLN00EXNY7,0,PICK,RDTS000001,61-01-02-04,12,Replenishment,D000000FG9BX,1
00006XBGEE,DC01,2021-11-02 8:43:05 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER12,ASSUMEDPCK,82614577,2240,90783021,109,SLN00EYFCI,0,PICK,RDTS000001,69-13-02-04,109,Replenishment,D000000FGA05,1
00006XB0LG,DC01,2021-11-02 8:06:15 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER10,ASSUMEDPCK,82614579,390,73936175,58,SLN00EYBF4,0,PICK,RDTS000001,73-21-04-08,58,Replenishment,D000000FG960,1
00006XBE53,DC01,2021-11-02 8:38:04 AM,02-Nov-21,8,E07,ECOMM US,ECOMMERCE,USER16,ASSUMEDPCK,262894098,3,90970010,72,SLN00EYGL1,0,PICK,RDTS000001,63-03-02-02,72,eComm USA S321,D000000FG9WF,1
00006XB20H,DC01,2021-11-02 8:09:02 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER10,ASSUMEDPCK,82611098,3060,91401005,58,SLN00EXO1P,0,PICK,RDTS000001,74-09-03-01,58,Replenishment,D000000FG98T,1
00006XBJF2,DC01,2021-11-02 8:49:33 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER7,LSTPCK,82614569,1360,81190010,27,SLN00EYEW4,0,PICK,RDTS000001,72-15-01-02,27,Replenishment,D000000FGA6I,3
00006XB1WR,DC01,2021-11-02 8:07:47 AM,02-Nov-21,8,E03,ECOMM CA,ECOMMERCE,USER2,ASSUMEDPCK,262895660,2,68177011,67,SLN00EYA9H,0,PICK,RDTS000001,37-14-03-05,67,eComm Canada,D000000FG97G,1
00006XBGEQ,DC01,2021-11-02 8:43:12 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER26,IDNTFY,82544830,450,78792017,94,SLN00EZ5L9,0,ADJS,EXPR,PERM-CRE-LOC,RTNS110221,Replenishment,D000000FGA08,1
00006XB3WC,DC01,2021-11-02 8:14:06 AM,02-Nov-21,8,E07,ECOMM US,ECOMMERCE,USER20,PKOCLOSE,262897620,2,92580004,STNPACK-059,SLN00EY926,0,WRKS,PACK,STNPACK-059,STNPACK-059-STG,eComm USA S321,D000000FG74P,1
00006XBJWM,DC01,2021-11-02 8:52:02 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER3,LSTPCK,82614571,690,77399032,12,SLN00EYF2W,0,PICK,RDTS000001,82-16-04-01,12,Replenishment,D000000FGA8U,1
00006XB7LS,DC01,2021-11-02 8:18:01 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER19,ASSUMEDPCK,82614579,580,75717002,8,SLN00EYBH9,0,PICK,RDTS000001,22-06-02-01,8,Replenishment,D000000FG9IN,1
00006XBHVF,DC01,2021-11-02 8:45:35 AM,02-Nov-21,8,SR,REPLEN,RETAIL,USER7,LSTPCK,82614569,620,78376007,27,SLN00EYF0V,0,PICK,RDTS000001,70-18-04-04,27,Replenishment,D000000FFW6U,1
